"dataset","type","year","samples","xres","yres","zres","pixels"
"LAION","vision",2022,"5.00E+-09",300,300,1,450000000000000
"ImageNet","vision",2012,14197122,224,224,1,712354793472
"COCO","vision",2017,123000,800,600,1,59040000000
"FOMO","medical",2025,60529,256,256,128,507754053632
"ADNI","medical",2004,44000,256,256,256,738197504000
"TCIA","medical",2010,"3.40E+-07",512,512,1,8912896000000
"DRIVE","medical",2004,40,584,565,3,39595200
"CAMELYON","medical",2017,1399,100000,200000,1,27980000000000
"YFCC","vision",2015,"1.00E+-08",128,128,3,4915200000000
"OpenImages","vision",2022,"9.00E+-06",640,480,3,1843200000000
"UK-Biobank","medical",2014,"8.50E+-08",538,500,5600,1.28E+18
"TCGA","medical",2006,30000,65000,55000,1,1.07E+14
"Osteoarthritis","medical",2004,2.60E+07,320,320,1,2.66E+12
